TEAM;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Arsenal;2;4;4;3;4;3;4;3;4;4;3;2;5;6
Ascoli;;10;19;;;;;;;;;;;
Aston Villa;10;16;11;6;6;6;9;16;15;15;17;20;;
Atalanta;20;;8;9;11;18;;12;15;11;17;13;4;7
Bari;;;;;;10;20;;;;;;;
Benevento;;;;;;;;;;;;;;20
Birmingham;12;18;;19;;9;18;;;;;;;
Blackburn;15;6;10;7;15;10;15;19;;;;;;
Blackpool;;;;;;;19;;;;;;;
Bologna;17;;;;17;17;16;9;13;19;;14;15;15
Bolton;6;8;7;16;13;14;14;18;;;;;;
Bournemouth;;;;;;;;;;;;16;;12
Brescia;19;;;;;;19;;;;;;9;
Brighton;;;;;;;;;;;;;;15
Burnley;;;;;;18;;;;;19;;16;7
Cagliari;12;14;16;14;9;16;14;15;11;15;18;;11;16
Cardiff;;;;;;;;;;20;;;;
Carpi;;;;;;;;;;;;18;;
Catania;;;13;17;15;13;13;11;8;18;;;;
Cesena;;;;;;;15;;;;19;;;
Charlton;11;13;19;;;;;20;;;;;;
Chelsea;1;1;2;2;3;1;2;6;3;3;1;10;1;5
Chievo;15;4;18;;16;14;11;10;12;16;14;9;14;13
Crotone;;;;;;;;;;;;;17;18
Crystal Palace;18;;;;;;;;;11;10;15;14;11
Derby;;;;20;;;;;;;;;;
Empoli;;8;7;18;;;;;;;15;10;18;
Everton;4;11;6;5;5;8;7;7;6;5;11;11;7;8
Fiorentina;16;9;5;4;4;11;9;13;4;4;4;5;8;8
Frosinone;;;;;;;;;;;;19;;
Fulham;13;12;16;17;7;12;8;9;12;19;;;;
Genoa;;;;10;5;9;10;17;17;14;6;11;16;12
Huddersfield;;;;;;;;;;;;;;16
Hull;;;;;17;19;;;;16;18;;18;
Inter;3;1;1;1;1;1;2;6;9;5;8;4;7;4
Juventus;1;1;1;3;2;7;7;1;1;1;1;1;1;1
Lazio;13;16;3;12;10;12;5;4;7;9;3;8;5;5
Lecce;10;18;;;20;;17;18;;;;;;
Leicester;;;;;;;;;;;14;1;12;9
Liverpool;5;3;3;4;2;7;6;8;7;2;6;8;4;4
Livorno;9;6;11;20;;20;;;;20;;;;
Man City;8;15;14;9;10;5;3;1;2;1;2;4;3;1
Man United;3;2;1;1;1;2;1;2;1;7;4;5;6;2
Messina;7;17;20;;;;;;;;;;;
Middlesbrough;7;14;12;13;19;;;;;;;;19;
Milan;2;3;4;5;3;3;1;2;3;8;10;7;6;6
Napoli;;;;8;12;6;3;5;2;3;5;2;3;2
Newcastle;14;7;13;12;18;;12;5;16;10;15;18;;10
Norwich;19;;;;;;;12;11;18;;19;;
Novara;;;;;;;;19;;;;;;
Palermo;6;5;6;11;8;5;8;16;18;;11;16;19;
Parma;18;7;12;19;;8;12;8;10;6;20;;;
Pescara;;;;;;;;;20;;;;20;
Portsmouth;16;17;9;8;14;20;;;;;20;;;
QPR;;;;;;;;17;20;;;;;
Reading;;;8;18;;;;;19;;;;;
Reggina;11;13;14;16;19;;;;;;;;;
Roma;8;2;2;2;6;2;6;7;6;2;2;3;2;3
Sampdoria;5;12;9;6;13;4;18;;14;12;7;15;10;10
Sassuolo;;;;;;;;;;17;12;6;12;11
Sheffield United;;;18;;;;;;;;;;;
Siena;14;15;15;13;14;19;;14;19;;;;;
Southampton;20;;;;;;;;14;8;7;6;8;17
Spal;;;;;;;;;;;;;;17
Stoke;;;;;12;11;13;14;13;9;9;9;13;19
Sunderland;;20;;15;16;13;10;13;17;14;16;17;20;
Swansea;;;;;;;;11;9;12;8;12;15;18
Torino;;;17;15;18;;;;16;7;9;12;9;9
Tottenham;9;5;5;11;8;4;5;4;5;6;5;3;2;3
Treviso;;19;;;;;;;;;;;;
Udinese;4;11;10;7;7;15;4;3;5;13;16;17;13;14
Verona;;;;;;;;;;10;13;20;;19
Watford;;;20;;;;;;;;;13;17;14
West Brom;17;19;;;20;;11;10;8;17;13;14;10;20
West Ham;;9;15;10;9;17;20;;10;13;12;7;11;13
Wigan;;10;17;14;11;16;;15;18;;;;;
Wolves;;;;;;15;17;20;;;;;;
;;;;;;;;;;;;;;
