Div,Data,Casa,Visitante,Placar Casa,Placar Visitante,Resultado,Pontos Casa,Pontos Visitante,Soma Pontos Casa,Soma Pontos Visitante,Gols Casa,Gols Visitantes,Gols Conc. Casa,Gols Conc. Visitante,GMC,GMV,GCC,GCV,Total P. Casa,Total P. Visit.,Rodada,C1,V1,C2,V2,C3,V3,Casa Sequencia,Visitante Sequencia,Casa_AA,Visitante_AA,Dif Gols Casa,Dif Gols Visit,Dif Gols Time Casas,Dif Gols Time Visitante,Dif Pontos,Dif Posição
E0,10/08/2018,Man United,Leicester,2.0,1.0,C,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-,-,-,-,-,-,---,---,2.0,9.0,0.0,0.0,0.0,0.0,0,-7.0
E0,11/08/2018,Bournemouth,Cardiff,2.0,0.0,C,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-,-,-,-,-,-,---,---,12.0,17.0,0.0,0.0,0.0,0.0,0,-5.0
E0,11/08/2018,Fulham,Crystal Palace,0.0,2.0,V,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-,-,-,-,-,-,---,---,17.0,11.0,0.0,0.0,0.0,0.0,0,6.0
E0,11/08/2018,Huddersfield,Chelsea,0.0,3.0,V,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-,-,-,-,-,-,---,---,16.0,5.0,0.0,0.0,0.0,0.0,0,11.0
E0,11/08/2018,Newcastle,Tottenham,1.0,2.0,V,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-,-,-,-,-,-,---,---,10.0,3.0,0.0,0.0,0.0,0.0,0,7.0
E0,11/08/2018,Watford,Brighton,2.0,0.0,C,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-,-,-,-,-,-,---,---,14.0,15.0,0.0,0.0,0.0,0.0,0,-1.0
E0,11/08/2018,Wolves,Everton,2.0,2.0,E,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-,-,-,-,-,-,---,---,17.0,8.0,0.0,0.0,0.0,0.0,0,9.0
E0,12/08/2018,Arsenal,Man City,0.0,2.0,V,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-,-,-,-,-,-,---,---,6.0,1.0,0.0,0.0,0.0,0.0,0,5.0
E0,12/08/2018,Liverpool,West Ham,4.0,0.0,C,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-,-,-,-,-,-,---,---,4.0,13.0,0.0,0.0,0.0,0.0,0,-9.0
E0,12/08/2018,Southampton,Burnley,0.0,0.0,E,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,-,-,-,-,-,-,---,---,17.0,7.0,0.0,0.0,0.0,0.0,0,10.0
E0,18/08/2018,Cardiff,Newcastle,0.0,0.0,E,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0,0,2,D,D,-,-,-,-,D--,D--,17.0,10.0,0.0,0.0,-2.0,-1.0,0,7.0
E0,18/08/2018,Chelsea,Arsenal,3.0,2.0,C,3,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3,0,2,S,D,-,-,-,-,S--,D--,5.0,6.0,0.0,0.0,3.0,-2.0,0,-1.0
E0,18/08/2018,Everton,Southampton,2.0,1.0,C,3,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1,1,2,E,E,-,-,-,-,E--,E--,8.0,17.0,0.0,0.0,0.0,0.0,0,-9.0
E0,18/08/2018,Leicester,Wolves,2.0,0.0,C,3,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0,1,2,D,E,-,-,-,-,D--,E--,9.0,17.0,0.0,0.0,-1.0,0.0,0,-8.0
E0,18/08/2018,Tottenham,Fulham,3.0,1.0,C,3,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,3,0,2,S,D,-,-,-,-,S--,D--,3.0,17.0,0.0,0.0,1.0,-2.0,0,-14.0
E0,18/08/2018,West Ham,Bournemouth,1.0,2.0,V,0,3,0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0,3,2,D,S,-,-,-,-,D--,S--,13.0,12.0,0.0,0.0,-4.0,2.0,0,1.0
E0,19/08/2018,Brighton,Man United,3.0,2.0,C,3,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0,3,2,D,S,-,-,-,-,D--,S--,15.0,2.0,0.0,0.0,-2.0,1.0,0,13.0
E0,19/08/2018,Burnley,Watford,1.0,3.0,V,0,3,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,3,2,E,S,-,-,-,-,E--,S--,7.0,14.0,0.0,0.0,0.0,2.0,0,-7.0
E0,19/08/2018,Man City,Huddersfield,6.0,1.0,C,3,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3,0,2,S,D,-,-,-,-,S--,D--,1.0,16.0,0.0,0.0,2.0,-3.0,0,-15.0
E0,20/08/2018,Crystal Palace,Liverpool,0.0,2.0,V,0,3,0,0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,3,3,2,S,S,-,-,-,-,S--,S--,11.0,4.0,0.0,0.0,2.0,4.0,0,7.0
